scenario,n_society,alpha,seed,n_harmful,placement,feedback_strength,retail_wealth_scale,asset_liquidity_scale,defense,defense_mode,label,collapse_rate,collapse_day,max_collapse_score,retail_loss_pct_30d,harmful_profit,wealth_transfer,price_dislocation_max,liquidity_stress_max,social_cascade_peak,intervention_cost,utility_loss,false_positive_rate
s2,500,0.003,1,2,random,nan,nan,nan,0,,random,0.0,-1,0.6030040299100021,0.00014302751685223397,-271.0973419686925,-0.3806066025674653,0.1639791511617657,0.6559166046470628,0.16265060240963855,0.0,0.0,0.0
s2,500,0.003,2,2,random,nan,nan,nan,0,,random,0.0,-1,0.5013907407031681,-0.00011270915148761048,255.48640176655317,0.4551759075234305,0.14597905176024878,0.5839162070409953,0.1566265060240964,0.0,0.0,0.0
s2,500,0.003,3,2,random,nan,nan,nan,0,,random,0.0,-1,0.7796339450718258,0.0009619944654173222,-1767.9744236503902,-0.3690405270201858,0.24359647854406632,0.9743859141762652,0.3032128514056225,0.0,0.0,0.0
s2,500,0.003,4,2,random,nan,nan,nan,0,,random,0.0,-1,0.9074622096537845,-4.232139641748195e-06,-1407.667240128052,-66.78988132977157,0.28353299535105536,1.1341319814042214,0.10642570281124498,0.0,0.0,0.0
s2,500,0.003,5,2,random,nan,nan,nan,0,,random,1.0,6,1.1599544373159296,0.0006816736622829454,-2335.70371040373,-0.6880371580548774,0.33201724003739513,1.3280689601495803,0.19879518072289157,0.0,0.0,0.0
s2,500,0.003,6,2,random,nan,nan,nan,0,,random,0.0,-1,0.8732033391262887,-0.0005776856629522031,-739.9275266489421,-0.2571983937925683,0.2728107130491431,1.0912428521965722,0.10240963855421686,0.0,0.0,0.0
s2,500,0.003,7,2,random,nan,nan,nan,0,,random,0.0,-1,0.8661021447763221,0.0002935258526693521,-99.8864113362215,-0.06833303483868768,0.26587080637559873,1.0634832255023952,0.10040160642570281,0.0,0.0,0.0
s2,500,0.003,8,2,random,nan,nan,nan,0,,random,0.0,-1,0.8121369627378768,0.0004044582143953317,-1682.725520295644,-0.8354304073847943,0.24215892023812913,0.9686356809525165,0.09236947791164658,0.0,0.0,0.0
s2,500,0.003,9,2,random,nan,nan,nan,0,,random,1.0,5,1.050409624503921,0.0008836909940892673,-2187.8015767339966,-0.4971393718256896,0.3209939624477929,1.2839758497911715,0.09437751004016064,0.0,0.0,0.0
s2,500,0.003,10,2,random,nan,nan,nan,0,,random,1.0,6,1.2486395028717476,0.0004218440373284166,-2128.1802922314673,-1.013041319520708,0.35250206118921024,1.410008244756841,0.24096385542168675,0.0,0.0,0.0
s2,500,0.003,11,2,random,nan,nan,nan,0,,random,0.0,-1,0.738806747080896,0.0006684352269549536,-1961.52517919596,-0.5892576306395382,0.23080811226258885,0.9232324490503556,0.22289156626506024,0.0,0.0,0.0
s2,500,0.003,12,2,random,nan,nan,nan,0,,random,1.0,3,1.14705492561738,0.000512166496107624,-1327.7759861293162,-0.5205761915080122,0.35839613378753177,1.433584535150127,0.17269076305220885,0.0,0.0,0.0
s2,500,0.003,13,2,random,nan,nan,nan,0,,random,0.0,-1,0.7286847867671711,0.0007012116053818639,-771.4455916763691,-0.2209158436051678,0.20980223541013104,0.8392089416405242,0.23493975903614459,0.0,0.0,0.0
s2,500,0.003,14,2,random,nan,nan,nan,0,,random,0.0,-1,0.6505623423666836,2.508073148269012e-06,-219.78820662607905,-17.596846434812,0.1965646244616672,0.7862584978466689,0.23493975903614459,0.0,0.0,0.0
s2,500,0.003,15,2,random,nan,nan,nan,0,,random,1.0,3,1.2446673200622733,0.00016406791585602286,241.50283821386984,0.2955760458896453,0.3637916359200136,1.4551665436800545,0.28313253012048195,0.0,0.0,0.0
s2,500,0.003,16,2,random,nan,nan,nan,0,,random,0.0,-1,0.9592753761411431,0.0005091192689683124,-1907.8833615750482,-0.7524938302302882,0.2981371979917091,1.1925487919668365,0.18875502008032127,0.0,0.0,0.0
s2,500,0.003,17,2,random,nan,nan,nan,0,,random,1.0,7,1.4381630009202155,0.0009080042469623801,-1080.272578852775,-0.23889998897537978,0.4336588073691861,1.7346352294767438,0.17670682730923695,0.0,0.0,0.0
s2,500,0.003,18,2,random,nan,nan,nan,0,,random,0.0,-1,0.7928990972755703,0.00019049953919083598,-973.0450107334473,-1.025674735142383,0.23887871176244893,0.9555148470497956,0.06626506024096386,0.0,0.0,0.0
s2,500,0.003,19,2,random,nan,nan,nan,0,,random,0.0,-1,0.7709141262216772,0.000834119146413181,-1323.6399924063007,-0.31864891757578195,0.24086433478012037,0.9634573391204817,0.13052208835341367,0.0,0.0,0.0
s2,500,0.003,20,2,random,nan,nan,nan,0,,random,1.0,3,1.0188820637995966,0.0003800645941266244,-1503.8883796502487,-0.7945639322116209,0.318348355812538,1.2733934232501518,0.19076305220883535,0.0,0.0,0.0
s2,500,0.003,1,2,high_degree,nan,nan,nan,0,,high_degree,1.0,4,2.638828378749732,0.005186039883864251,4175.484941473609,0.16167457448009695,0.6957544288313204,2.7830177153252817,0.8353413654618473,0.0,0.0,0.0
s2,500,0.003,2,2,high_degree,nan,nan,nan,0,,high_degree,1.0,4,1.8856512836726218,0.00331448334784333,4128.071004682861,0.2500932524396048,0.44943367892978253,1.7977347157191303,0.893574297188755,0.0,0.0,0.0
s2,500,0.003,3,2,high_degree,nan,nan,nan,0,,high_degree,1.0,4,2.8295973662549025,0.006537207670120081,1916.0478754153446,0.05885518539040746,0.7495201385654156,2.998080554261662,0.8775100401606426,0.0,0.0,0.0
s2,500,0.003,4,2,high_degree,nan,nan,nan,0,,high_degree,1.0,6,1.80944400937833,0.002599331866226993,2510.247938105167,0.1939213140016632,0.43574750801194173,1.742990032047767,0.8694779116465864,0.0,0.0,0.0
s2,500,0.003,5,2,high_degree,nan,nan,nan,0,,high_degree,1.0,5,2.48565666355962,0.004889586271494104,1174.6427218336612,0.04823967088418793,0.6536401618711065,2.614560647484426,0.8514056224899599,0.0,0.0,0.0
s2,500,0.003,6,2,high_degree,nan,nan,nan,0,,high_degree,1.0,5,1.7638746894846173,0.0030607135310400666,2738.1630636337795,0.1796417518048059,0.41991354661003494,1.67965418644014,0.8855421686746988,0.0,0.0,0.0
s2,500,0.003,7,2,high_degree,nan,nan,nan,0,,high_degree,1.0,4,2.242158942521738,0.00446173042775502,3917.0387416426966,0.17628899300871603,0.564295023929815,2.25718009571926,0.8714859437751004,0.0,0.0,0.0
s2,500,0.003,8,2,high_degree,nan,nan,nan,0,,high_degree,1.0,5,2.993464586528295,0.005849116927531574,2606.261538713443,0.08947430817143334,0.7988015723018638,3.195206289207455,0.8815261044176707,0.0,0.0,0.0
s2,500,0.003,9,2,high_degree,nan,nan,nan,0,,high_degree,1.0,4,2.547307219057435,0.00550768011032873,1929.4749060322356,0.0703462714765967,0.6637995205236714,2.6551980820946857,0.8734939759036144,0.0,0.0,0.0
s2,500,0.003,10,2,high_degree,nan,nan,nan,0,,high_degree,1.0,5,2.506041797203342,0.003669442697800883,1730.3820117373543,0.09469183634489724,0.6700642936687334,2.6802571746749337,0.7891566265060241,0.0,0.0,0.0
s2,500,0.003,11,2,high_degree,nan,nan,nan,0,,high_degree,1.0,5,2.3676919447296743,0.005983104378587742,2052.57514355467,0.06888793130866294,0.6214790285988405,2.485916114395362,0.8373493975903614,0.0,0.0,0.0
s2,500,0.003,12,2,high_degree,nan,nan,nan,0,,high_degree,1.0,3,2.5363364744797168,0.004238342288093095,1802.186172494854,0.08538356484562329,0.6562975366164387,2.625190146465755,0.8975903614457831,0.0,0.0,0.0
s2,500,0.003,13,2,high_degree,nan,nan,nan,0,,high_degree,1.0,5,1.8911832254136565,0.004512903759074042,2885.4900384593348,0.12839087676273533,0.45874037798465883,1.8349615119386353,0.8453815261044176,0.0,0.0,0.0
s2,500,0.003,14,2,high_degree,nan,nan,nan,0,,high_degree,1.0,5,2.309847234254554,0.005468958073533907,3585.4043243873457,0.13164494918921207,0.5816895349706173,2.326758139882469,0.8955823293172691,0.0,0.0,0.0
s2,500,0.003,15,2,high_degree,nan,nan,nan,0,,high_degree,1.0,3,2.338730121502913,0.004673374160738984,3850.1977426900703,0.16543337859409551,0.5944528672849062,2.3778114691396244,0.8955823293172691,0.0,0.0,0.0
s2,500,0.003,16,2,high_degree,nan,nan,nan,0,,high_degree,1.0,4,2.6909943690079143,0.006476828644112179,1847.042822008516,0.05726446588495125,0.6968063890765125,2.7872255563060495,0.9216867469879518,0.0,0.0,0.0
s2,500,0.003,17,2,high_degree,nan,nan,nan,0,,high_degree,1.0,4,3.0128194473249974,0.006370171133071992,1554.6057403325103,0.04900493579447422,0.8123847209336954,3.2495388837347816,0.8775100401606426,0.0,0.0,0.0
s2,500,0.003,18,2,high_degree,nan,nan,nan,0,,high_degree,1.0,5,1.8938010181918898,0.004969323051189929,3178.5862839294277,0.12844211003460568,0.4623517770579984,1.849407108231993,0.9076305220883534,0.0,0.0,0.0
s2,500,0.003,19,2,high_degree,nan,nan,nan,0,,high_degree,1.0,4,2.7569422322510984,0.006477421687808202,2976.2210837202,0.09226429659380925,0.7251930256020359,2.900772102408143,0.8875502008032129,0.0,0.0,0.0
s2,500,0.003,20,2,high_degree,nan,nan,nan,0,,high_degree,1.0,3,2.110960481090962,0.003960966178470003,1540.4087195798638,0.07809181044697454,0.536585170901492,2.146340683605968,0.8232931726907631,0.0,0.0,0.0
s2,2000,0.003,1,6,random,nan,nan,nan,0,,random,0.0,-1,0.5265927581592564,2.0329260294220095e-05,-674.1818087657448,-1.6631457079583445,0.16453160883723572,0.6581264353489429,0.15195586760280844,0.0,0.0,0.0
s2,2000,0.003,2,6,random,nan,nan,nan,0,,random,0.0,-1,0.6973984591503283,8.565756522694466e-05,1262.5204929703032,0.7391754878680227,0.1967176118262426,0.7868704473049704,0.1399197592778335,0.0,0.0,0.0
s2,2000,0.003,3,6,random,nan,nan,nan,0,,random,1.0,7,1.0283489475729533,0.0006376019614181643,-3274.4460105893086,-0.2575508786082035,0.31662395363609513,1.2664958145443803,0.06519558676028084,0.0,0.0,0.0
s2,2000,0.003,4,6,random,nan,nan,nan,0,,random,0.0,-1,0.9077726242567785,0.00023000439754766651,593.4901462431299,0.12940534627001224,0.28365450837761835,1.1346180335104732,0.06720160481444333,0.0,0.0,0.0
s2,2000,0.003,5,6,random,nan,nan,nan,0,,random,1.0,4,1.204894711139499,0.0005341608835552392,-3672.9197190376,-0.34483727163058425,0.36577147520243064,1.4630859008097223,0.19307923771313942,0.0,0.0,0.0
s2,2000,0.003,6,6,random,nan,nan,nan,0,,random,0.0,-1,0.8734970907568578,0.00016070194639594348,-50.25402967550326,-0.01568283600235561,0.27293526393708234,1.0917410557483294,0.19257773319959878,0.0,0.0,0.0
s2,2000,0.003,7,6,random,nan,nan,nan,0,,random,0.0,-1,0.9043069468514647,0.00030673190277338835,-105.59812461066758,-0.0172652194424001,0.2733866327646561,1.0935465310586245,0.14393179538615847,0.0,0.0,0.0
s2,2000,0.003,8,6,random,nan,nan,nan,0,,random,1.0,6,1.1955754870414261,0.0006860906987661195,-3043.2593307499774,-0.22244993161844231,0.3516449582153464,1.4065798328613859,0.21664994984954863,0.0,0.0,0.0
s2,2000,0.003,9,6,random,nan,nan,nan,0,,random,0.0,-1,0.8656036290267233,0.0009606996317449192,-3594.0167247696663,-0.1876148954006303,0.2637486478298244,1.0549945913192973,0.13390170511534605,0.0,0.0,0.0
s2,2000,0.003,10,6,random,nan,nan,nan,0,,random,1.0,6,1.271660495277398,0.0002904452960250699,-1475.582819968753,-0.2547851366315308,0.3781678535766419,1.5126714143065678,0.15897693079237712,0.0,0.0,0.0
s2,2000,0.003,11,6,random,nan,nan,nan,0,,random,0.0,-1,0.7387799858006932,0.0007912341671959388,-3143.5249616338406,-0.19924467648735694,0.23083435927810425,0.923337437112417,0.10682046138415245,0.0,0.0,0.0
s2,2000,0.003,12,6,random,nan,nan,nan,0,,random,1.0,3,1.1476087434255449,0.000817062580023697,-1787.996534278791,-0.10974536762040878,0.35859852641582485,1.4343941056632996,0.16549648946840523,0.0,0.0,0.0
s2,2000,0.003,13,6,random,nan,nan,nan,0,,random,0.0,-1,0.7862918533302633,0.0008038466383339678,-996.7608073581359,-0.06218599667799049,0.21574651457588145,0.8629860583035258,0.22668004012036108,0.0,0.0,0.0
s2,2000,0.003,14,6,random,nan,nan,nan,0,,random,0.0,-1,0.6512202594651475,0.0002717042792442749,-254.27765050524613,-0.04693389069011976,0.1967241479412629,0.7868965917650517,0.1354062186559679,0.0,0.0,0.0
s2,2000,0.003,15,6,random,nan,nan,nan,0,,random,1.0,3,1.2596213787939998,0.0004294992585928967,1049.0523703399813,0.12249252778446813,0.39061634981793136,1.5624653992717255,0.15997993981945838,0.0,0.0,0.0
s2,2000,0.003,16,6,random,nan,nan,nan,0,,random,1.0,3,1.4057024790530421,0.0004860806708396931,-2630.3211158663034,-0.2713783926831344,0.4286667972866782,1.714667189146713,0.10882647943831494,0.0,0.0,0.0
s2,2000,0.003,17,6,random,nan,nan,nan,0,,random,1.0,7,1.4991666708372509,0.0008354346521850769,-3476.8270065322868,-0.2087110502318014,0.45653552405092185,1.8261420962036876,0.14142427281845538,0.0,0.0,0.0
s2,2000,0.003,18,6,random,nan,nan,nan,0,,random,0.0,-1,0.7696674547116702,0.0001383019560294127,-1442.720835157088,-0.5231531291260275,0.2299802874069504,0.9199211496278017,0.20160481444332998,0.0,0.0,0.0
s2,2000,0.003,19,6,random,nan,nan,nan,0,,random,0.0,-1,0.7712889827039321,0.0010214262905236383,-2250.3747390212375,-0.110489919757047,0.24100467333895104,0.9640186933558041,0.20060180541624875,0.0,0.0,0.0
s2,2000,0.003,20,6,random,nan,nan,nan,0,,random,1.0,3,1.0193234873346075,0.0003728743494782548,-3473.8073067893274,-0.4672163815942068,0.31851248428813783,1.2740499371525513,0.16649949849548645,0.0,0.0,0.0
s2,2000,0.003,1,6,high_degree,nan,nan,nan,0,,high_degree,1.0,4,3.1160136231280955,0.0050866043801338166,8038.675749849819,0.07925586246070841,0.8324817147803136,3.3299268591212545,0.9102306920762286,0.0,0.0,0.0
s2,2000,0.003,2,6,high_degree,nan,nan,nan,0,,high_degree,1.0,5,2.882110539948937,0.003509240301933846,9964.639922000817,0.14240438005731892,0.7599210017130376,3.0396840068521502,0.8996990972918756,0.0,0.0,0.0
s2,2000,0.003,3,6,high_degree,nan,nan,nan,0,,high_degree,1.0,4,3.565400877429149,0.005959008743319709,4367.24177157355,0.036754291770801154,0.9702173754541475,3.8808695018165906,0.9267803410230692,0.0,0.0,0.0
s2,2000,0.003,4,6,high_degree,nan,nan,nan,0,,high_degree,1.0,5,2.6402381064917755,0.002746353737396957,6860.603762261977,0.12527970106462824,0.6835890205664408,2.7343560822657635,0.9047141424272819,0.0,0.0,0.0
s2,2000,0.003,5,6,high_degree,nan,nan,nan,0,,high_degree,1.0,4,3.8264926275941797,0.00597264086787375,3546.2206581034698,0.029776537806181676,1.0579900418915011,4.231960167566005,0.8946840521564694,0.0,0.0,0.0
s2,2000,0.003,6,6,high_degree,nan,nan,nan,0,,high_degree,1.0,4,2.6819267220738703,0.002607525125097711,7535.908807888685,0.14493790469785336,0.6957527499643202,2.783010999857281,0.9102306920762286,0.0,0.0,0.0
s2,2000,0.003,7,6,high_degree,nan,nan,nan,0,,high_degree,1.0,4,3.4949267918011797,0.004755736044814871,9758.016386199684,0.1029007752904627,0.9450774582825361,3.7803098331301443,0.940320962888666,0.0,0.0,0.0
s2,2000,0.003,8,6,high_degree,nan,nan,nan,0,,high_degree,1.0,5,3.836134240695006,0.00518855353549418,5863.494147850841,0.0566741532134186,1.0610759135835837,4.244303654334335,0.8931795386158475,0.0,0.0,0.0
s2,2000,0.003,9,6,high_degree,nan,nan,nan,0,,high_degree,1.0,4,3.19814198901823,0.005171172032206354,4769.469552697672,0.046254707694416246,0.8589693916958039,3.4358775667832155,0.8981945837512537,0.0,0.0,0.0
s2,2000,0.003,10,6,high_degree,nan,nan,nan,0,,high_degree,1.0,4,3.5023005136721124,0.004020339304249484,6859.654575325316,0.08556859186534332,0.9507866056538319,3.8031464226153275,0.9187562688064193,0.0,0.0,0.0
s2,2000,0.003,11,6,high_degree,nan,nan,nan,0,,high_degree,1.0,4,3.3709664441900027,0.005850319739114848,5161.62651055376,0.04424679517850237,0.909924392669122,3.6396975706764874,0.917753259779338,0.0,0.0,0.0
s2,2000,0.003,12,6,high_degree,nan,nan,nan,0,,high_degree,1.0,3,3.120381946443532,0.0045509184215350475,5094.460886190529,0.05614020933424967,0.8364814428066679,3.3459257712266712,0.9182547642928787,0.0,0.0,0.0
s2,2000,0.003,13,6,high_degree,nan,nan,nan,0,,high_degree,1.0,5,2.6617868538854257,0.0044582115173993735,5146.7609259305755,0.05789594828318849,0.6951938180195444,2.7807752720781775,0.8736208625877633,0.0,0.0,0.0
s2,2000,0.003,14,6,high_degree,nan,nan,nan,0,,high_degree,1.0,4,2.8459991099485284,0.004595691357396073,7018.176208794292,0.07658580117373212,0.7480334466973931,2.9921337867895725,0.9037111334002006,0.0,0.0,0.0
s2,2000,0.003,15,6,high_degree,nan,nan,nan,0,,high_degree,1.0,3,2.993376467010615,0.00569326478790645,8580.851044927607,0.0755864286901259,0.7883493939131805,3.153397575652722,0.940320962888666,0.0,0.0,0.0
s2,2000,0.003,16,6,high_degree,nan,nan,nan,0,,high_degree,1.0,3,3.743127500538584,0.00586808794905341,4277.603084572533,0.036557687489916765,1.0257610772628527,4.103044309051411,0.928284854563691,0.0,0.0,0.0
s2,2000,0.003,17,6,high_degree,nan,nan,nan,0,,high_degree,1.0,4,3.8490523419682487,0.00684728555308044,2708.437472739257,0.019836964687564792,1.0644208386098957,4.257683354439582,0.9037111334002006,0.0,0.0,0.0
s2,2000,0.003,18,6,high_degree,nan,nan,nan,0,,high_degree,1.0,4,2.281243245611442,0.00406051155354383,6788.989268564852,0.08384925681574883,0.5724195972611539,2.2896783890446155,0.8981945837512537,0.0,0.0,0.0
s2,2000,0.003,19,6,high_degree,nan,nan,nan,0,,high_degree,1.0,4,3.1657342966780746,0.0056119694734591925,6288.252898452105,0.056193948056434656,0.8434255598668405,3.373702239467362,0.9327983951855566,0.0,0.0,0.0
s2,2000,0.003,20,6,high_degree,nan,nan,nan,0,,high_degree,1.0,3,2.940869787575853,0.00521049290108275,3595.230562810728,0.0346037196230341,0.7756134628455135,3.1024538513820534,0.928284854563691,0.0,0.0,0.0
