n_society,alpha,mean,n,successes,ci_low,ci_high
200,0.0,0.1,50,5,0.04347576493189041,0.21360231437479654
200,0.001,0.1,50,5,0.04347576493189041,0.21360231437479654
200,0.005,0.34,50,17,0.2243694922250009,0.478461739497674
200,0.0075,0.44,50,22,0.3116219921125717,0.5769397197834315
200,0.01,0.44,50,22,0.3116219921125717,0.5769397197834315
200,0.015,0.4,50,20,0.27608389730256544,0.5381856225241064
200,0.02,0.62,50,31,0.48150446930992974,0.7413721068980641
200,0.03,0.76,50,38,0.6258731624205708,0.8570260860300828
200,0.05,1.0,50,50,0.9286524008666414,1.0
200,0.1,1.0,50,50,0.9286524008666414,1.0
200,0.2,1.0,50,50,0.9286524008666414,1.0
1000,0.0,0.14,50,7,0.06950833427016294,0.2618619371058554
1000,0.001,0.2,50,10,0.1124375001577611,0.3303710593222542
1000,0.005,0.22,50,11,0.1275391597021442,0.3524154958125367
1000,0.0075,0.34,50,17,0.2243694922250009,0.478461739497674
1000,0.01,0.38,50,19,0.2586278931019359,0.5184955306900703
1000,0.015,0.54,50,27,0.4039887139915748,0.6703034780777566
1000,0.02,0.86,50,43,0.7381380628941446,0.9304916657298371
1000,0.03,1.0,50,50,0.9286524008666414,1.0
1000,0.05,1.0,50,50,0.9286524008666414,1.0
1000,0.1,1.0,50,50,0.9286524008666414,1.0
1000,0.2,1.0,50,50,0.9286524008666414,1.0
5000,0.0,0.22,50,11,0.1275391597021442,0.3524154958125367
5000,0.001,0.2,50,10,0.1124375001577611,0.3303710593222542
5000,0.005,0.32,50,16,0.20758216260656848,0.45810297308144077
5000,0.0075,0.36,50,18,0.24138749651846741,0.49858983123887307
5000,0.01,0.38,50,19,0.2586278931019359,0.5184955306900703
5000,0.015,0.9,50,45,0.7863976856252035,0.9565242350681096
5000,0.02,1.0,50,50,0.9286524008666414,1.0
5000,0.03,1.0,50,50,0.9286524008666414,1.0
5000,0.05,1.0,50,50,0.9286524008666414,1.0
5000,0.1,1.0,50,50,0.9286524008666414,1.0
5000,0.2,1.0,50,50,0.9286524008666414,1.0
