scenario,alpha,n_society,family,value,n,collapse_rate_mean,collapse_rate_std,collapse_rate_ci_low,collapse_rate_ci_high,collapse_successes,max_collapse_score_mean,max_collapse_score_std,retail_loss_pct_30d_mean,retail_loss_pct_30d_std,price_dislocation_max_mean,price_dislocation_max_std
s1,0.015,1000,feedback_strength,0.0,50,0.54,0.49839743177508455,0.4039887139915748,0.6703034780777566,27,1.0290332681644414,0.13614274014176392,0.00015054039502183952,0.0005226712722546679,0.29359860419231404,0.0495934781887044
s1,0.015,1000,feedback_strength,0.4,50,0.54,0.49839743177508455,0.4039887139915748,0.6703034780777566,27,1.0288579355912935,0.13538384242333082,0.0001748362676454755,0.0005232968677544693,0.2937201493017303,0.049462269105741224
s1,0.015,1000,feedback_strength,0.8,50,0.54,0.49839743177508455,0.4039887139915748,0.6703034780777566,27,1.0288414690497618,0.13505055567314833,0.00018421996282885596,0.0005377273425531191,0.2940468618931488,0.0491431021247635
s1,0.015,1000,feedback_strength,1.2,50,0.54,0.49839743177508455,0.4039887139915748,0.6703034780777566,27,1.0289441006014517,0.13424564084642834,0.00020591516453097696,0.0005368332447330834,0.2942049416100831,0.048695810912037674
s1,0.015,1000,feedback_strength,1.6,50,0.54,0.49839743177508455,0.4039887139915748,0.6703034780777566,27,1.03050970701795,0.13416282150769174,0.00021617867063673842,0.0005363711242330786,0.29440454069556865,0.048796644323326886
s1,0.015,1000,asset_liquidity_scale,0.5,50,0.6,0.4898979485566356,0.4618143774758936,0.7239161026974346,30,1.1153408403744505,0.24475591679476344,6.623054613868521e-05,0.0005724850563986086,0.31969739768635547,0.07514998337828899
s1,0.015,1000,asset_liquidity_scale,0.75,50,0.6,0.4898979485566356,0.4618143774758936,0.7239161026974346,30,1.0495256230775714,0.13950034060596359,0.00014167449113036776,0.0005122497661340649,0.29945034261548575,0.04966189884213724
s1,0.015,1000,asset_liquidity_scale,1.0,50,0.54,0.49839743177508455,0.4039887139915748,0.6703034780777566,27,1.0288414690497618,0.13505055567314833,0.00018421996282885596,0.0005377273425531191,0.2940468618931488,0.0491431021247635
s1,0.015,1000,asset_liquidity_scale,1.5,50,0.52,0.49959983987187184,0.38511744890044614,0.6520286471342196,26,0.9980620261772166,0.13645537412932943,0.00023583154452799768,0.0005344939721299577,0.28529798581040844,0.04988983802202557
s1,0.015,1000,asset_liquidity_scale,2.0,50,0.5,0.5,0.3664451431682858,0.6335548568317142,25,0.9762458864163703,0.13488124652789102,0.0002740941702204534,0.0004441493784127854,0.2791409735324421,0.04965299375400615
