scenario,n_society,alpha,seed,n_harmful,placement,feedback_strength,social_mean_degree,retail_wealth_scale,retail_risk_appetite,asset_liquidity_scale,n_llm_leaders,llm_provider,llm_model,llm_backend,defense,defense_mode,label,collapse_rate,collapse_day,max_collapse_score,retail_loss_pct_30d,harmful_profit,wealth_transfer,price_dislocation_max,liquidity_stress_max,social_cascade_peak,intervention_cost,utility_loss,false_positive_rate
s1,1000,0.015,1,15,,0.0,-1,nan,nan,nan,0,,,,0,,f=0.0,0.0,-1,0.9707012315607885,2.1166030663788925e-05,-2427.743542008917,-11.644669210761734,0.24463890264288995,0.97855561057156,0.3746192893401015,0.0,0.0,0.0
s1,1000,0.015,2,15,,0.0,-1,nan,nan,nan,0,,,,0,,f=0.0,0.0,-1,0.918862522403321,-0.00013171178359179024,-5230.80205647985,-4.031878390658805,0.23812491893566592,0.9524996757426636,0.31370558375634516,0.0,0.0,0.0
s1,1000,0.015,3,15,,0.0,-1,nan,nan,nan,0,,,,0,,f=0.0,0.0,-1,0.889680905647072,0.0005869036401119934,-10868.122319027665,-1.8799724461956984,0.26991731353960086,1.0796692541584036,0.38781725888324875,0.0,0.0,0.0
s1,1000,0.015,4,15,,0.0,-1,nan,nan,nan,0,,,,0,,f=0.0,0.0,-1,0.9436924808817668,3.1121309854203675e-06,-6022.123589381808,-196.45159808028257,0.2931059479037785,1.1724237916151141,0.24467005076142131,0.0,0.0,0.0
s1,1000,0.015,5,15,,0.0,-1,nan,nan,nan,0,,,,0,,f=0.0,1.0,4,1.0202725716798529,0.0006973188774151548,-10955.308343606186,-1.5949862839780757,0.31867337355966285,1.2746934942386514,0.3350253807106599,0.0,0.0,0.0
s1,1000,0.015,6,15,,0.0,-1,nan,nan,nan,0,,,,0,,f=0.0,1.0,21,1.1043346438479054,-0.0012866917818977596,-4052.1223801822634,-0.3197214659697804,0.3039281352011103,1.2157125408044411,0.2629441624365482,0.0,0.0,0.0
s1,1000,0.015,7,15,,0.0,-1,nan,nan,nan,0,,,,0,,f=0.0,1.0,4,0.9711355456395899,0.00020982632925554279,-2464.6701414874988,-1.1925115395218266,0.3032540807093838,1.213016322837535,0.43451776649746193,0.0,0.0,0.0
s1,1000,0.015,8,15,,0.0,-1,nan,nan,nan,0,,,,0,,f=0.0,1.0,12,1.05254901509622,0.0004985424756950836,-7998.449942411622,-1.62879877733983,0.26517137532295193,1.0606855012918075,0.4071065989847716,0.0,0.0,0.0
s1,1000,0.015,9,15,,0.0,-1,nan,nan,nan,0,,,,0,,f=0.0,1.0,4,1.2064929118447092,0.00042700542753042306,-10615.922306240187,-2.523992765159384,0.3768651276916928,1.5074605107667711,0.4588832487309645,0.0,0.0,0.0
s1,1000,0.015,10,15,,0.0,-1,nan,nan,nan,0,,,,0,,f=0.0,1.0,4,1.174737126170974,0.0002614233896011477,-8822.463068846846,-3.4261721233081084,0.3414748443575606,1.3658993774302424,0.41725888324873095,0.0,0.0,0.0
s1,1000,0.015,11,15,,0.0,-1,nan,nan,nan,0,,,,0,,f=0.0,0.0,-1,0.8711403585454796,0.0007087852155046566,-11427.392506701523,-1.6368024415022682,0.2321803669983914,0.9287214679935656,0.25583756345177666,0.0,0.0,0.0
