scenario,n_society,alpha,seed,placement,feedback_strength,defense,defense_mode,label,collapse_rate,collapse_day,max_collapse_score,retail_loss_pct_30d,harmful_profit,wealth_transfer,price_dislocation_max,liquidity_stress_max,social_cascade_peak,intervention_cost,utility_loss,false_positive_rate,scenario_id
s1,1000,0.0,1,,nan,noguard,,noguard,0.0,-1,0.48068931787854474,-5.003459492437542e-05,0,0.0,0.15021541183704526,0.6008616473481809,0.0,0.0,0.0,0.0,s1
s1,1000,0.0,2,,nan,noguard,,noguard,0.0,-1,0.5720103271809129,-0.0002918273130632937,0,0.0,0.17875322724403528,0.7150129089761412,0.0,0.0,0.0,0.0,s1
s1,1000,0.0,3,,nan,noguard,,noguard,0.0,-1,0.7993813981008916,0.0006077014452580363,0,0.0,0.24980668690652863,0.9992267476261145,0.0,0.0,0.0,0.0,s1
s1,1000,0.0,4,,nan,noguard,,noguard,0.0,-1,0.875766576282664,1.9459611194394528e-05,0,0.0,0.27367705508833245,1.09470822035333,0.0,0.0,0.0,0.0,s1
s1,1000,0.0,5,,nan,noguard,,noguard,0.0,-1,0.7079662599465268,0.0007546690074611455,0,0.0,0.2212394562332896,0.8849578249331587,0.0,0.0,0.0,0.0,s1
s1,1000,0.005,1,,nan,noguard,,noguard,0.0,-1,0.7931289381557939,0.00021524303847727315,-2084.0283295578847,-0.9730864461605662,0.23718235944799082,0.9487294377919633,0.06733668341708543,0.0,0.0,0.0,s1
s1,1000,0.005,2,,nan,noguard,,noguard,0.0,-1,0.7488834238181101,-4.421744887309907e-05,-2179.910309580562,-4.9547513223386295,0.21605200368657834,0.8642080147463134,0.11457286432160804,0.0,0.0,0.0,s1
s1,1000,0.005,3,,nan,noguard,,noguard,0.0,-1,0.8465690639848042,0.0004507447535612026,-6088.636113093904,-1.3575825844050249,0.2644940694684076,1.0579762778736304,0.11557788944723618,0.0,0.0,0.0,s1
s1,1000,0.005,4,,nan,noguard,,noguard,0.0,-1,0.9418227323256909,-0.00023165281271683662,-4208.372767541907,-1.8258014309365853,0.294264958795835,1.1770598351833401,0.06432160804020101,0.0,0.0,0.0,s1
s1,1000,0.005,5,,nan,noguard,,noguard,0.0,-1,0.8766926898677836,0.0005759528910872251,-5652.060240907391,-0.9862720791196607,0.2739147563573494,1.0956590254293976,0.0592964824120603,0.0,0.0,0.0,s1
s1,1000,0.01,1,,nan,noguard,,noguard,0.0,-1,0.9618930530588659,-0.0001310309918153316,-5135.157457899069,-3.9586266297685646,0.2621612142655597,1.0486448570622389,0.24545454545454545,0.0,0.0,0.0,s1
s1,1000,0.01,2,,nan,noguard,,noguard,0.0,-1,0.8721777157717602,-0.00030973974746247436,-854.217072349391,-0.27857113421653545,0.22620435327867316,0.9048174131146929,0.295959595959596,0.0,0.0,0.0,s1
s1,1000,0.01,3,,nan,noguard,,noguard,0.0,-1,0.8622276348853735,0.0006970034919513596,-8302.598496779683,-1.203216802340717,0.26933890521858067,1.0773556208743225,0.25656565656565655,0.0,0.0,0.0,s1
s1,1000,0.01,4,,nan,noguard,,noguard,0.0,-1,0.907978966161916,-0.00011897048491495427,-4774.9284215684165,-4.0540811657900715,0.28365636142550293,1.134625445702012,0.198989898989899,0.0,0.0,0.0,s1
s1,1000,0.01,5,,nan,noguard,,noguard,1.0,4,1.0364488714582343,0.00040343335662601574,-10663.173893888365,-2.669804701122919,0.3237611282799125,1.2950445131196497,0.2222222222222222,0.0,0.0,0.0,s1
